"department","publisher","books","percent"
"Space and Climate Physics","Cambridge University Press",1,100
"Faculty of Engineering Sciences","Pearson/Prentice Hall",1,100
"Bartlett School of Architecture","Yale University Press",4,3.225806451612903
"Bartlett School of Architecture","Polity Press",1,0.8064516129032258
"Bartlett School of Architecture","University of Michigan Press",1,0.8064516129032258
"Bartlett School of Architecture","MIT Press",16,12.903225806451612
"Bartlett School of Architecture","Routledge",43,34.67741935483871
"Bartlett School of Architecture","Princeton Architectural Press",13,10.483870967741936
"Bartlett School of Architecture","Princeton University Press",1,0.8064516129032258
"Bartlett School of Architecture","University of California Press",3,2.4193548387096775
"Bartlett School of Architecture","Manchester University Press",1,0.8064516129032258
"Bartlett School of Architecture","The MIT Press",1,0.8064516129032258
"Bartlett School of Architecture","NAi Publishers",1,0.8064516129032258
"Bartlett School of Architecture","University of Chicago Press",2,1.6129032258064515
"Bartlett School of Architecture","Blackwell",2,1.6129032258064515
"Bartlett School of Architecture","Verso",7,5.645161290322581
"Bartlett School of Architecture","Spon Press",1,0.8064516129032258
"Bartlett School of Architecture","Stanford University Press",3,2.4193548387096775
"Bartlett School of Architecture","Penguin",1,0.8064516129032258
"Bartlett School of Architecture","Spon",1,0.8064516129032258
"Bartlett School of Architecture","Island Press",1,0.8064516129032258
"Bartlett School of Architecture","University of Minnesota Press",1,0.8064516129032258
"Bartlett School of Architecture","I. B. Tauris",2,1.6129032258064515
"Bartlett School of Architecture","Ashgate",2,1.6129032258064515
"Bartlett School of Architecture","Sage",1,0.8064516129032258
"Bartlett School of Architecture","Cape",1,0.8064516129032258
"Bartlett School of Architecture","Reaktion Books",1,0.8064516129032258
"Bartlett School of Architecture","Wiley",3,2.4193548387096775
"Bartlett School of Architecture","Black Dog Pub",3,2.4193548387096775
"Bartlett School of Architecture","Pluto P",1,0.8064516129032258
"Bartlett School of Architecture","Duke University Press",1,0.8064516129032258
"Bartlett School of Architecture","Berg",1,0.8064516129032258
"Bartlett School of Architecture","Hogarth and the Institute of Psycho-Analysis",1,0.8064516129032258
"Bartlett School of Architecture","Vintage",1,0.8064516129032258
"Bartlett School of Architecture","Sage Publications Ltd",2,1.6129032258064515
"Bartlett School of Graduate Studies","Routledge",16,29.62962962962963
"Bartlett School of Graduate Studies","Athlone Press",1,1.8518518518518519
"Bartlett School of Graduate Studies","Sage Publications Ltd",1,1.8518518518518519
"Bartlett School of Graduate Studies","Penguin Books",2,3.7037037037037037
"Bartlett School of Graduate Studies","Penguin",3,5.555555555555555
"Bartlett School of Graduate Studies","Blackwell",2,3.7037037037037037
"Bartlett School of Graduate Studies","Continuum",1,1.8518518518518519
"Bartlett School of Graduate Studies","Blackwell Publishers",1,1.8518518518518519
"Bartlett School of Graduate Studies","MIT Press",2,3.7037037037037037
"Bartlett School of Graduate Studies","Butterworth-Heinemann",2,3.7037037037037037
"Bartlett School of Graduate Studies","Wiley-Blackwell",3,5.555555555555555
"Bartlett School of Graduate Studies","Chartered Institution of Building Services Engineers",2,3.7037037037037037
"Bartlett School of Graduate Studies","Earthscan Publications Ltd",1,1.8518518518518519
"Bartlett School of Graduate Studies","RICS",1,1.8518518518518519
"Bartlett School of Graduate Studies","Taylor & Francis",4,7.407407407407407
"Bartlett School of Graduate Studies","Black Dog Publishing",1,1.8518518518518519
"Bartlett School of Graduate Studies","McGraw-Hill",1,1.8518518518518519
"Bartlett School of Graduate Studies","Architectural Press",2,3.7037037037037037
"Bartlett School of Graduate Studies","Pearson Prentice Hall",1,1.8518518518518519
"Bartlett School of Graduate Studies","J. Wiley",1,1.8518518518518519
"Bartlett School of Graduate Studies","Kogan Page",1,1.8518518518518519
"Bartlett School of Graduate Studies","Harvard Business School Press",1,1.8518518518518519
"Bartlett School of Graduate Studies","Harvard Business Review Press",1,1.8518518518518519
"Bartlett School of Graduate Studies","The Macmillan",1,1.8518518518518519
"Bartlett School of Graduate Studies","Routledge & K. Paul",1,1.8518518518518519
"Bartlett School of Graduate Studies","E & FN Spon",1,1.8518518518518519
"Earth Sciences","Oxford University Press",1,6.666666666666667
"Earth Sciences","Prentice Hall",1,6.666666666666667
"Earth Sciences","W. W. Norton & Company",2,13.333333333333334
"Earth Sciences","W.H. Freeman",3,20
"Earth Sciences","Wiley-Blackwell",2,13.333333333333334
"Earth Sciences","Cambridge University Press",4,26.666666666666668
"Earth Sciences","Blackwell Science",2,13.333333333333334
"Political Science","Palgrave Macmillan",186,6.8584070796460175
"Political Science","Pearson",9,0.33185840707964603
"Political Science","Hart",14,0.5162241887905604
"Political Science","Blackwell",44,1.6224188790560472
"Political Science","Cambridge University Press",339,12.5
"Political Science","Yale University Press",74,2.728613569321534
"Political Science","Oxford University Press",436,16.07669616519174
"Political Science","Sage Publications",43,1.5855457227138643
"Political Science","Sage",29,1.0693215339233038
"Political Science","Palgrave",22,0.8112094395280236
"Political Science","CQ Press",13,0.47935103244837757
"Political Science","Cassell",2,0.07374631268436578
"Political Science","Polity",73,2.691740412979351
"Political Science","Politico's in association with Democratic Audit, Human Rights Centre, University of Essex",2,0.07374631268436578
"Political Science","Routledge",174,6.415929203539823
"Political Science","Longman",23,0.8480825958702065
"Political Science","Oxford University Press, USA",90,3.3185840707964602
"Political Science","Manchester University Press",55,2.028023598820059
"Political Science","Macmillan Press",12,0.4424778761061947
"Political Science","Little, Brown",1,0.03687315634218289
"Political Science","Macmillan",49,1.8067846607669618
"Political Science","Polity in association with Blackwell",3,0.11061946902654868
"Political Science","Imprint Academic",7,0.2581120943952802
"Political Science","Published for the British Academy by Oxford University Press",16,0.5899705014749262
"Political Science","Hart Pub",1,0.03687315634218289
"Political Science","St. Martin's Press",6,0.22123893805309736
"Political Science","PalgraveMacmillan",1,0.03687315634218289
"Political Science","Hart Publishing (UK)",5,0.18436578171091444
"Political Science","Global, Area, and International Archive",1,0.03687315634218289
"Political Science","Hart Publishing",10,0.3687315634218289
"Political Science","Chatham House Publishers",1,0.03687315634218289
"Political Science","Gower",1,0.03687315634218289
"Political Science","Harvester Wheatsheaf",3,0.11061946902654868
"Political Science","Gollancz",2,0.07374631268436578
"Political Science","Vintage",2,0.07374631268436578
"Political Science","Heinemann",1,0.03687315634218289
"Political Science","Dartmouth",1,0.03687315634218289
"Political Science","Westview Press",21,0.7743362831858407
"Political Science","Johns Hopkins University Press",18,0.6637168141592921
"Political Science","Clarendon Press",65,2.396755162241888
"Political Science","Edinburgh University Press",7,0.2581120943952802
"Political Science","Smith Institute",1,0.03687315634218289
"Political Science","Constitution Unit, University College London",1,0.03687315634218289
"Political Science","Politico's Publishing Ltd",2,0.07374631268436578
